! ======================================================================
! list of species having a particular structure 
! ----------------------------------------------------------------------
!
! This file is read up to the keyword END. Comment line (! as first
! character) can be placed everywhere in the file.
!                                                                                                        
! The format of the line is fixed: the first 6 character is the code 
! for the species. The "formula" start at the position 10 and end at
! position 100. Additional information on the functional group on
! the carbon backbone are given at position 132 to 146.
!
! Special formula must start with a '#' at the first character.
!
! The code of the species is "free". 
! ======================================================================
XC       #lostcarbon                                                  
C2H2     #ethyne                                                                                                                                                               
C3H4     #propyne                                                                                                                                      
C4H601   #1-butyne                                                                                                                                                               
C4H602   #2-butyne                                                                                                                                                        
AR0267   #mmCH3COCH(O.)CH(OH)C1H-O-C1(CH3)CHO                                                                                      1.DKOE                    
AR0268   #mmCH3COCH(ONO2)CH(OH)C1H-O-C1(CH3)CHO                                                                                    NDKOE                    
AR0269   #mmCH3COCH(OOH)CH(OH)C1H-O-C1(CH3)CHO                                                                                     HDKOE                    
AR0270   #mmCH3COCdH=CdHC1H-O-C1(CH3)CO(OONO2)                                                                                     PUKE                     
AR0271   #mmCH3COCdH=CdHC1H-O-C1(CH3)CO(OOH)                                                                                       GUKE                     
AR0272   #mmCH3COCdH=CdHC1H-O-C1(CH3)CO(OH)                                                                                        AUKE                     
AR0273   #mmc1Hc(CH3)c(OO.)cHcHc1CH3                                                                                               2.R                      
AR0274   #mmc1Hc(CH3)c(OH)c(NO2)cHc1CH3                                                                                            RVO                      
AR0275   #mm-O2--O-C(CH3)(C1H(OH))C(OH)(O.)CdH=CdHC12CH3                                                                           1.UOOEE                    
AR0276   #mmC2(OH)(OOH)CdH=CdHC(CH3)(C1H(OH))-O--O-C12CH3                                                                          HUOOEE                    
AR0277   #mmc1Hc(CH3)c(O.)c(OH)cHc1CH3                                                                                             1.RO                     
AR0278   #MXCATECOOA                                                                                                               K                            
AR0279   #mm-O2--O-C(CH3)(C1H(ONO2))C(OH)(O.)CdH=CdHC12CH3                                                                         1.NUOEE                    
AR0280   #mmC2(OH)(OOH)CdH=CdHC(CH3)(C1H(ONO2))-O--O-C12CH3                                                                        HNUOEE                    
AR0281   #mmCH3c1cHcHcHc(c1H)CHO                                                                                                   RD                            
AR0282   #mmC1H(OH)CH2-O-COC1(OO.)CH3                                                                                              2.KOE                    
AR0283   #mmC1O-O-CH2CH(ONO2)C1(OO.)CH3                                                                                            2.NKE                    
AR0284   #mmC1H(OH)C(OO.)(CH3)CO-O-C1HCH3                                                                                          2.KOE                    
